,0,1,2
0,Its a million bad bitches in this world and you stucc on stupid,1,0
1,A-Rod said the number 13 he wears on his uniform is for opposing teams to fear him but the fact is A-Rod is a damn cancer to the Yankees,0,0
2,Sorry all my fellow negros,0,0
3,RT And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&8230;,0,0
4,"Is it just me or is Hicks saying ""bung beds""?",0,0
5,funky hoe you gone solo,1,0
6,"RT I got Twitter, Facebook, &amp; Instagram.. The Fuk Yuh Mean ""send u a pic ?.. bitch you better Download my avi",1,0
7,All these touch screen phones and hoe u still got flipped,1,0
8,"Lol faggot team pipe ""beef""",1,0
9,&8220; grown. mature. pretty. &amp;etc. All that goes out the window when a bitch play with me.&8221;,1,0
10,Dem hoes be peeping out my dougie &128131;,1,0
11,"&8220; If Howard elbow bosh, will bosh fight back?&8221; don't have to got mcbob bird and UD",0,0
12,"I went to see This is Where I Leave You, at a movie theater with tables and real food! It was fun. I ordered a brownie dessert. :P",0,0
13,Mi caldito de pollo estuvo incredible!! Ahora a snuggle con mi snuggie y mi hubby... Queeee riiikkooo...,0,0
14,RT Oreo Donut,0,0
15,This Charlie Murder game is pretty dope Xbla,0,0
16,"Today was Talk Like A Pirate Day, and absolutely NOBODY knew Id been doing a Charlie Morton impersonation all day.",0,0
17,5am//,0,0
18,"Do girls wear bathrobes still cuz I have really cute fuzzy $60 bathrobe from Victorias Secret, is that even ok to wear &128589;",0,0
19,it's supposed to be grey with speckled blue midsole and the soles are more yellow than icy so pass,0,0
20,Four ho&251;rs to back up this iPhone haha... Jokes &128530;,0,0
21,nd you kno how much I love clams lol,0,0
22,"I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &128514;"" lmaoo",0,0
23,Congrats Amos! :),0,0
24,I learned from the great Asia Torres &128583; take notes bitch &128514;,1,0
25,Dallas hoe RT Why,0,0
26,Gorgeous RT Calico Maine coon cat,0,0
27,RT Uncle Charlie and nem lol,0,0
28,"good job tonight! You need to eat some crackers so,you'll stop throwing up !",0,0
29,This my dog telling me he is done playing frisbee for now.. lazy mutt,0,0
30,Inbed eating left over poppadom. livinthedream,0,0
31,now time to find the monkey term scripts!,0,0
32,Chicago hoes love pink lipstick &128533;,1,0
33,"Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",0,0
34,"Please stay safe you guys! I love you so much, I hoe to one day meet you guys! happy Halloween :)",0,0
35,Looks like the Yankees will be competing with Boston for the East cellar this year MLB,0,0
36,"Only one current Yankee sells! Only one current BoSox sells! Only ONE player on each L.A. team sells! Most teams have 0, yeah.",0,0
37,THEBOONDOCKS at 10:30 my nicca!,0,0
38,Bruh went so hard on that bitch he deserves pimp of the year,1,0
39,RT All a nigga need is money. . . . . . . . . . . . . . . . Fuck a bitch,1,0
40,Scrappy got the hoes &65039;.. It's 3 of em on stage I wonder how many in the audience,1,0
41,RT Pik taken by Biebz! Shout out my nig Jereme Rogers,1,0
42,RT I really need to take my rose colored glasses off though. I gotta stop thinking everybody does shit with good intentions&8230;,0,0
43,My life is going to a bitch for 6 short weeks,1,0
44,Kobe is fat &amp; Im white &9996;RT Some people just retarded lol RT Y'all really think Kobe Fat tho??? Give me a break!!,1,0
45,Miley Cyrus just wants to hump things and smoke weed with her retarded ass.,1,0
46,Home fag. Didn't feel like puttin up with your shit today,1,0
47,RT He loves me *eats a brownie* He loves me not *eats a brownie*,0,0
48,Review// via,0,0
49,Never turned my back on the birds,0,0
50,RT Scorpio aka hoe season right around the corner.,1,0
51,I'm flexin on these bitches all gold bottles no Bombay,1,0
52,pussy x3,1,0
53,Two red bones kissin n da back seat,0,0
54,Flappy bird on bull....,0,0
55,"Like damn hoe I gave you a chance when you was average, Why you aint beauty make over when we was together.",1,0
56,oops 13th amendment banning slavery.,0,0
57,"' Niggah said "" my girl off limits thirsty niggahs stay out her inbox "" But the bitch look like Kunta Kintes...",1,0
58,Love is a bird of flames. Thank you for that song,0,0
59,"Sitting on the deck, enjoying a StoneIPA, watching/smelling the neighbors burn trash. Missouri",0,0
60,"I didn't really have one, was aware of Yankees, but always loved Dodgers uniform!",0,0
61,I hate you niccas! Lol,1,0
62,you a Oreo cookie now.,0,0
