,0,1,2
0,RT This bitch got a real life hippo as a pet,1,0
1,A-Rod said the number 13 he wears on his uniform is for opposing teams to fear him but the fact is A-Rod is a damn cancer to the Yankees,0,0
2,I was gonna put &8220;I wanna eat the pussy like a Saiyan&8221; in her mentions but they&8217;re savage enough.,1,0
3,Sorry all my fellow negros,0,0
4,RT And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&8230;,0,0
5,"Is it just me or is Hicks saying ""bung beds""?",0,0
6,funky hoe you gone solo,1,0
7,town . At a movie with friends. I stabbed a nig 3 times and got sent to prison. Justice?,1,0
8,"RT I got Twitter, Facebook, &amp; Instagram.. The Fuk Yuh Mean ""send u a pic ?.. bitch you better Download my avi",1,0
9,He called me just to say he was deleting my number.... bitch please.,1,0
10,"Lol faggot team pipe ""beef""",1,0
11,&8220; grown. mature. pretty. &amp;etc. All that goes out the window when a bitch play with me.&8221;,1,0
12,"&8220; If Howard elbow bosh, will bosh fight back?&8221; don't have to got mcbob bird and UD",0,0
13,"I went to see This is Where I Leave You, at a movie theater with tables and real food! It was fun. I ordered a brownie dessert. :P",0,0
14,Mi caldito de pollo estuvo incredible!! Ahora a snuggle con mi snuggie y mi hubby... Queeee riiikkooo...,0,0
15,RT Oreo Donut,0,0
16,This Charlie Murder game is pretty dope Xbla,0,0
17,"Today was Talk Like A Pirate Day, and absolutely NOBODY knew Id been doing a Charlie Morton impersonation all day.",0,0
18,5am//,0,0
19,"Do girls wear bathrobes still cuz I have really cute fuzzy $60 bathrobe from Victorias Secret, is that even ok to wear &128589;",0,0
20,RT Damn girl u is a straight hoe!&128514;,1,0
21,it's supposed to be grey with speckled blue midsole and the soles are more yellow than icy so pass,0,0
22,Four ho&251;rs to back up this iPhone haha... Jokes &128530;,0,0
23,"Hitting women is wrong morally but bitches get raped, kidknapped.beat up, an sold to be sex slaves, when they gonna end that?",1,0
24,nd you kno how much I love clams lol,0,0
25,"I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &128514;"" lmaoo",0,0
26,Congrats Amos! :),0,0
27,I learned from the great Asia Torres &128583; take notes bitch &128514;,1,0
28,Dallas hoe RT Why,0,0
29,Gorgeous RT Calico Maine coon cat,0,0
30,What's so good about Prom? All I see is another faggot ass High School dance.,1,0
31,RT Uncle Charlie and nem lol,0,0
32,RT i'll be that bitch today,1,0
33,"good job tonight! You need to eat some crackers so,you'll stop throwing up !",0,0
34,This my dog telling me he is done playing frisbee for now.. lazy mutt,0,0
35,Inbed eating left over poppadom. livinthedream,0,0
36,now time to find the monkey term scripts!,0,0
37,Chicago hoes love pink lipstick &128533;,1,0
38,"Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",0,0
39,"Please stay safe you guys! I love you so much, I hoe to one day meet you guys! happy Halloween :)",0,0
40,funny to read retard liberal tweets. But Anand u didn't delete salwar tweet. Anyway say hi to DigVijaySingh,1,0
41,Looks like the Yankees will be competing with Boston for the East cellar this year MLB,0,0
42,"Only one current Yankee sells! Only one current BoSox sells! Only ONE player on each L.A. team sells! Most teams have 0, yeah.",0,0
43,THEBOONDOCKS at 10:30 my nicca!,0,0
44,Bruh went so hard on that bitch he deserves pimp of the year,1,0
45,RT All a nigga need is money. . . . . . . . . . . . . . . . Fuck a bitch,1,0
46,Scrappy got the hoes &65039;.. It's 3 of em on stage I wonder how many in the audience,1,0
47,RT I really need to take my rose colored glasses off though. I gotta stop thinking everybody does shit with good intentions&8230;,0,0
48,My life is going to a bitch for 6 short weeks,1,0
49,Home fag. Didn't feel like puttin up with your shit today,1,0
50,RT He loves me *eats a brownie* He loves me not *eats a brownie*,0,0
51,if he wants bitches tip toein on his marble floors he will &128521;,1,0
52,Review// via,0,0
53,Never turned my back on the birds,0,0
54,RT he knows game. He's just gonna make it as small of a loss as possible.she was 1 of Don Juan hoes off jump ;,1,0
55,RT Scorpio aka hoe season right around the corner.,1,0
56,I'm flexin on these bitches all gold bottles no Bombay,1,0
57,pussy x3,1,0
58,liars ever ...republican teabagger asshats like stockboy pinoccio,1,0
59,Two red bones kissin n da back seat,0,0
60,Flappy bird on bull....,0,0
61,"Like damn hoe I gave you a chance when you was average, Why you aint beauty make over when we was together.",1,0
62,oops 13th amendment banning slavery.,0,0
63,Love is a bird of flames. Thank you for that song,0,0
64,"Sitting on the deck, enjoying a StoneIPA, watching/smelling the neighbors burn trash. Missouri",0,0
65,"I didn't really have one, was aware of Yankees, but always loved Dodgers uniform!",0,0
66,bitches can't cook but know how to suck dick .. s/o to the ones that can do both!,1,0
67,I hate you niccas! Lol,1,0
68,you a Oreo cookie now.,0,0
69,Find one where be beat Nathan Moons head into the ice too. Ol Andrew is straight trash as far as hockey.,0,0
70,keep them around so new bitches know they could be the next ex if they dont stay in line.,1,0
71,Fly as a bitch on Aladdin rug,1,0
72,"RT ""Bae"" means ""before anything else"" I always thought it was a ghetto word for ""babe""",0,0
73,sexy lad with hot soles and arches.,0,0
