,0,1,2
0,love this place one of my favorite greek restaurants outside of astoria .,1,0
1,been here twice so far food was amazing and the beer selection is also great selling point is definitely the backyard where you can enjoy both of these in a very relaxing atmosphere .,1,0
2,max has the best food and pizza around .,1,0
3,went for brunch and loved it a little pricy maybe but overall worth it drinks were good and lots of veggie potions .,1,0
4,we went here with a group of 11 they were very accommodating the sangria was flowing and the food was amazing definitely go if you want a good show and good food .,1,0
5,tasty but overpriced my lime sake cocktail was a bust and grilled rice ball came on a stick but many dishes were delicious the same people run totto ramen which i think is a better deal .,0,0
6,lets face it the only thing this place has going for it is the milk shake but from what im reading below even that is sometimes a struggle  being dragged here saturday after saturday .,0,0
7,hot  with honey and crunchy salt with every meal need i say more always good food here and a good time theyve been able to keep their quality up over the years which is nice .,1,0
8,food delivered half hour late all of it was cold and asked for ranch 4 times didnt get any never again .,0,0
9,we loved it chicken pie is a must shrimp and cajun grits was delicious nice atmosphere the owner is a gem .,1,0
10,incredible experience gm mike was great as well as his staff very accommodating and helpful food was excellent every dish was fantastic wine was good i had an awesome birthday dinner there the beet salad was so good .,1,0
11,good drop by with co workers spot good prices but not the best clams on earth but very good none the less .,1,0
12,nice experience but the food was not very impressive the  my friend ordered was okay my steak was awful .,0,0
13,cool new addition to bay ridge love the outside seating area with heat lamps hung out there comfortably  good beer selections very friendly service good pub food although the garlic pesto fries had me choked up in tears and not terribly pricy .,1,0
14,a cute quaint cafe on  campus i had a delightful brunch at white dog on a recent trip to philly reasonably priced brunch cocktails and generous portions i had the vegan breakfast burrito service can be slow but its great for a long leisurely meal .,1,0
15,good solid cheesesteaks thats all they do unlike campos a few doors over but they do it well if youre trying to decide between the two go to sonnys no contest its touristy prices but thats to be expected given the locale .,1,0
16,hottest steaks in the  .,1,0
17,simply the best italian in astoria the owner is a nice guy who  his nights looking after his guests when youll go make sure you try the porcini risotto .,1,0
18,terrible service im pretty  but the delivery service here is a joke i called up and the woman on the line could barely take my order too busy talking to someone else and then they forgot about my delivery .,0,0
19,we came here last night for a few drinks we had one round and then immediately exited overcrowded obnoxious patrons overcrowded obnoxious patrons overcrowded not my cup of tea  no thanks .,0,0
