,0,1,2
0,And love this place one of my beloved greek restaurants that is outside of astoria.,1,1
1,"I have also been told that the food was excellent, and that the beer was also excellent, both of which are excellent selling points.",1,1
2,there is also the best food and the best pizza in the world.,1,1
3,"For meh is right, believe not the word that I write unto you: for it is the word of the LORD of hosts which ye shall hear, and ye shall believe, and not be ashamed.",1,1
4,"Went for brunch and loved it: great but pricy certainly, though not overmuch; a goodly number of goodly drinks served to me",1,1
5,Pricy lacking in taste and the sandwiches having a minuscule quantity of salt,1,1
6,We went with a company of eleven they were very accommodating to our sangria which was flowing abundantly and to the food which was wonderful certainly go if thou wilt go to the theatre and see a,1,1
7,"But for my lime sake cocktails, which were very good, the same people run totto ramen which is a far better deal than my limes sake cocktail; for my sake they will not give their money unto the poor.",1,1
8,Let us face it only this only: that this place is as the milk shake but from what im readen below even that is sometimes a strife being dragged here saturday after saturday,1,1
9,"And the king said unto the people, Behold, I will send you a man of understanding and understanding wisdom, and he shall go in unto you daily to teach you all the words of the LORD your God: for",1,1
10,All that food was cold and asked for ranch four times received none; never again did he return unto them.,1,1
11,And very costly yea all natural nay flattery at the claires thereof is good till thou hast had better for nought whatsoever region is pleasant therefor.,1,1
12,"And for that matter let no man deceive you by any means into believing that there is any more of the olden days like the former, wherein the prices were unreasonable and the portions were but a little; this is no more in the olden days",1,1
13,"And they that were there had desired that Paul should come to them for two years: but he would not come unto them for two years because of the Jews' vexation, because they had accused him of covetousness and had besought him",1,1
14,Overpriced and overrated are many things in the land of the food which is acceptable in the sight of the wise.,1,1
15,"And no, I was not born and raised in this city, nor have I any more brought up in this place, that ye may",1,1
16,This is a must for us; chicken is a must; and shrimps and cajun grinds are our delight.,1,1
17,"And there was much wine, and excellent food, and much victuals, and excellent victuals for all the company: for mike was exceeding exceeding great in his strength, and his staff was very accommodating and handy: and",1,1
18,Drop by drop with co workers spot by spot the best clams upon the earth but not the best clams of all the earth but very good,1,1
19,"But the food was not so excellent as my friend's which he had ordered, but the portion was very small.",1,1
20,The outside seating for bay ridge love in it with heat lamps hanging out there comfortably; and in the entrance there is a goodly hanging for the new wine. very goodly pub food although the garlic pesto frites had me choked up in them,1,1
21,"I have to say that the food was excellent, but the price saved me from giving it a full and an hundred stars. pork sandwiches is recommended price saved me from giving it one star it was way too gre",1,1
22,"My mother's favourite is a quaint and pleasant cafe on the housetop of a recent visit to the city of my birth, in a reasonably priced brunch at white dog on a recent visit to the city of my birth, reasonably priced cocktails and plenteous",1,1
23,And they let in all the strangers that were therein without children.,1,1
24,"And now, behold, we truly desired to try this went all the way down only to find it hath a c rating to get a b is hard to do so to have a c it must needs be filthy what a grievous disappointment after coming all",1,1
25,"Nice concept, but very crowded and costly evil pizzas.",1,1
26,"For their stout cheesesteaks are of a good sort, like campos a few doors over but they do it well if thou shalt strive between the two goings out of the same place;",1,1
27,hottest steaks in the land of the living.,1,1
28,"It is simple, that a man of the best italian in astoria the owner keepeth a fair woman to his bedchamber when thou goest make sure that thou try the porcini risotto.",1,1
29,"Terrible service is this very pretty woman; but the deliverance service here is but a joking matter; the woman upon the line could hardly receive my instruction to set in order the things that were before her in the storehouse, or",1,1
30,"Now therefore come ye hither last night to drink, for we had one round and immediately departed out of the city into the streets of the dens: for my cup of tea is not in my hand, neither",1,1
31,The multitude of other reviews are so great and so many that it is hard to bear all their praises.,1,1
32,For I do not understand that this food was of fine flour but that it was abominable in this most glorious of brunets city why is the line so long why is the service so slow,1,1
33,"It is no better and no worse than chipotle meh to eat,",1,1
34,"But the fries here were not acceptable, the hot chocolate also was not to be desired, the buns were of the standard diner kind; and they were not to",1,1
35,"And for a perfect spot make request in the garden of the fair unto the lord of the field, that thou mayest have the space of a thousand shekels round about the corner of the",1,1
36,"And now, my son, I pray thee, let the food be better; and it shall keep on getting worse and worse until it be wasted; and my soul shall be cast out of my mouth for the food that is wasted and that is thrown",1,1
37,"And we brought him here for the premeasured pitchers of margaritas before dinner, which we had pitchers of tequila and did all the tequila flights bartender was very courteous and explained unto us all the pourers",1,1
38,"I love the way they serve their tacos, they are the most perfect late night food spot, they have to kill for it: but the others more than make up for it try the quac also it is",1,1
39,"And the whole staff was given to burn and to be used as a means of seasoning: and it was so, that even the clods thereof were not good for the top of it, neither was it even fresh.",1,1
40,"The worst of the indian food was the staff of the worst of the indians,",1,1
41,"Foodgasm loveth this place shall go forth every morning, in the midst of ny shall ye go forth",1,1
42,"This is the very best and most beautiful place of all our pleasure, which is the very delight of our heart, and which is our beloved Restaurant; and the service thereof is marvellous and every thing that comeeth out",1,1
43,"Great eggs and benedict,",1,1
44,Be very glorious very excellent.,1,1
45,"But the best of the food was the grilled octopus, with the thick cut fillet of the steamed whole bass: all the food was good, the prawns were fresh and the scall was not burnt shall return again",1,1
46,The fritters of the chicken.,1,1
47,Make me hot flamenco dances with hot steamy flamenco show waiters make me merry food make me,1,1
48,"Super rude girl server on the morrow morning she hath made me to want to leave that place, two of the three times that I have been there food as such is to be eaten and so is",1,1
49,Has excellent food and very gracious owners; they make me greatly to come and to dwell in their house.,1,1
50,"Horrible customer service, where every step was taken in such a manner as to make me walk out of the store because of the iniquities",1,1
51,"And if ye will have the chilies in the goblet go to father in law to son in law get them, and let the dogs at the table be even as the dogs at",1,1
52,Now this place was more promising from the outside then what it delivered on mediocre brawling food average service lack of understanding in the hands of a dull cook 2 hours there the place need a skilful forward looking menu and chef improved ingredients,1,1
53,"And, behold, this is the second visit that I have made unto this place; and, behold, it was not in vain good service and excellent good that I had here; and, behold, the very meat of the plaister was in",1,1
54,And eataly is too great an overwhelming and costly thing for what ye get especially since ye always go about with divers crowds of people additionally also the whole checkout situation is vexatious and ill conceived,1,1
55,"But the fame of them came unto us, that they were a very long time waited for, and not in vain: for the fame of them came to us of their own accord, and not by us.",1,1
56,ordered a margherita pizza pick it up felt saltier than usual margherita pizza its not omg this is the best pizza ever but ill give it a try and see how it is.,1,1
57,"And get thee up as soon as they shall open, or before great breakfasts and luncheons of bloody marys",1,1
58,"Excellent food and drink in the house of the awesome staff: and the most excellent meats and drink, which our friends brought for my birthday dinner",1,1
59,"Also for me a small and nameless japanese restaurant food is good; their japanese curry is not spicery at all, and it is very pleasant for me after eating that thou mayest even make my belly to rejoice while thou",1,1
60,Only one was there but of course it was an ungodly lot of meat and one was not: and it was made by me alone; but the three chutneys and the goodly dipping sauces were exceeding good things: nevertheless the best was,1,1
61,A clean atmosphere friendly staff help to take care of all needs good location and excellent dogs too many choice beg for many visits online ordering helps for,1,1
62,And they went there for the noon and also to celebrate my birthday slow service we ordered a turkey for our table and it was gross shall never go back again they are destroying their empire what a shame shall not,1,1
63,Excellent for the morning meal lunch or dinner excellent food attentively served and reasonably priced stuffed french toast for the morning is a must the turkey burger is also excellent.,1,1
64,"For the ambience is great but the food is overrated really ordinary, and although it was full there hath not been any thing done to make it good for the people, neither hath the place been visited.",1,1
65,"And my wife and I did eat supper here at the red stone tavern, the lollipops are exceedingly great portions are great and plenteous; well certainly be coming again upon a",1,1
66,"I love to go into the city after a concert or a ball game in the night season, and to eat ginos that are made late at night, in the fine evening meal, in the sackcloth and ashes: but in the days of",1,1
67,"And went out to the banquet room to have our dinner; and, behold, the mice ran by my feet, and into the wall behind me sufficient said the waiter was pleasant place was in need of a major renovation.",1,1
68,busy place very loud excellency of food best in the land of cuban bread.,1,1
69,He made exceedingly busy in the evening in the most holy feasts in the most acceptable dishes and in the most acceptable prices restaurants interior design,1,1
70,"Yea, I have heard of this place not serving their customers till long after the day of the long line, so basically faggot",1,1
71,"Wasted my time and mine money; the staffs of the tables were overhyped rudely, quite as I wished my friend which I had referred to had told me of the awkward community dining in tables unless thou hadst an inside scoop or",1,1
72,Great service slow kitchen service was courteous and very welcome which was necessary to make up for the great long wait time to receive our food when it was finally come is good but not worth the wait that was required,1,1
73,Great location for love of the food and love of the service highly recommended.,1,1
74,"Excellent service was good for the little ones, and the company was very good: such a cute place for sitting up there on the sittings service was good.",1,1
75,"They have not done this first time: they have burned my pizza, and my meal, at the first time that I went thither the second time I felt",1,1
76,And this is the breakfast of breaking.,1,1
77,They were all above average in food and in the service; for the bloody mary was a most pleasant present notwithstanding still lived not up to the hype which,1,1
78,The food was on point and the service excellent a family clearly ran the restaurant dad was stewarding the dishes.,1,1
79,Awesomeness in all our menu must try all things especially the lychee martini only down side is that it is very small in the dining place but the food make up for that.,1,1
80,"And it came to pass, as soon as we had set the table, that we were asked three times whether we would order any thing to be brought in before us; and being brought in, we sat down to eat was taken in, and vex offended",1,1
81,"Great is the smallness of the feast, and very affordable is the great",1,1
82,Now my new French crush for quality quantity atmosphere and no required for a france and if lucky to meet owners ask them of their journey surety for an hundred drams an hundred pence an hundred dram,1,1
83,and it was an average restaurant since our last order: my friends and I vowed that we should never return thither again.,1,1
84,"And their food is very good, the burger with the mayo is very savoury; and their drink is good: the wing with the mayo is very good, and the coleslaw very good, if thou wilt have people over",1,1
85,Excellent coffee place very pleasant take up a book take your laptop take with you what ye will ask for a cup of coffee ask for it with your right hand and offer it with your left hand offer unto the,1,1
86,Great authentic food but the waiters were cruelly mockers.,1,1
87,"For every time that I go to the south part of Philada, I make it a point to stop at both pats and to gens where they are: and my love for them is so",1,1
